"idx","data","godzina","flow"
"1","01/02/2014","00",24.25
"2","01/02/2014","01",16
"3","01/02/2014","02",14.125
"4","01/02/2014","03",11.75
"5","01/02/2014","04",17
"6","01/02/2014","05",34.5
"7","01/02/2014","06",58.25
"8","01/02/2014","07",114
"9","01/02/2014","08",183.75
"10","01/02/2014","09",222.25
"11","01/02/2014","10",242.5
"12","01/02/2014","11",232.5
"13","01/02/2014","12",231
"14","01/02/2014","13",239.75
"15","01/02/2014","14",204.25
"16","01/02/2014","15",158.5
"17","01/02/2014","16",172.5
"18","01/02/2014","17",150.75
"19","01/02/2014","18",120.25
"20","01/02/2014","19",95.5
"21","01/02/2014","20",68
"22","01/02/2014","21",44
"23","01/02/2014","22",56.75
"24","01/02/2014","23",31
"25","01/03/2014","00",20.75
"26","01/03/2014","01",21
"27","01/03/2014","02",11.5
"28","01/03/2014","03",10
"29","01/03/2014","04",19.9375
"30","01/03/2014","05",37
"31","01/03/2014","06",58.5
"32","01/03/2014","07",127.75
"33","01/03/2014","08",189.75
"34","01/03/2014","09",246.75
"35","01/03/2014","10",244.5
"36","01/03/2014","11",256.75
"37","01/03/2014","12",248.5
"38","01/03/2014","13",269.25
"39","01/03/2014","14",224.75
"40","01/03/2014","15",203.5
"41","01/03/2014","16",179.5
"42","01/03/2014","17",182.25
"43","01/03/2014","18",139.25
"44","01/03/2014","19",115.5
"45","01/03/2014","20",68.5
"46","01/03/2014","21",54.25
"47","01/03/2014","22",50.75
"48","01/03/2014","23",36.5
"49","01/04/2014","00",16
"50","01/04/2014","01",10.25
"51","01/04/2014","02",10.375
"52","01/04/2014","03",20.375
"53","01/04/2014","04",26.75
"54","01/04/2014","05",71.5
"55","01/04/2014","06",160.5
"56","01/04/2014","07",373.25
"57","01/04/2014","08",418
"58","01/04/2014","09",276.5
"59","01/04/2014","10",215
"60","01/04/2014","11",212
"61","01/04/2014","12",221.5
"62","01/04/2014","13",193.75
"63","01/04/2014","14",195.5
"64","01/04/2014","15",203.75
"65","01/04/2014","16",251.75
"66","01/04/2014","17",278.75
"67","01/04/2014","18",185.25
"68","01/04/2014","19",117.5
"69","01/04/2014","20",63.75
"70","01/04/2014","21",53.25
"71","01/04/2014","22",39
"72","01/04/2014","23",24.25
"73","01/05/2014","00",21.5
"74","01/05/2014","01",16
"75","01/05/2014","02",19.5625
"76","01/05/2014","03",13
"77","01/05/2014","04",41.75
"78","01/05/2014","05",86
"79","01/05/2014","06",164.75
"80","01/05/2014","07",387.75
"81","01/05/2014","08",423.5
"82","01/05/2014","09",315.5
"83","01/05/2014","10",252
"84","01/05/2014","11",236
"85","01/05/2014","12",230
"86","01/05/2014","13",241.5
"87","01/05/2014","14",233.75
"88","01/05/2014","15",230
"89","01/05/2014","16",276.5
"90","01/05/2014","17",271.5
"91","01/05/2014","18",200.5
"92","01/05/2014","19",112.5
"93","01/05/2014","20",67.5
"94","01/05/2014","21",57.5
"95","01/05/2014","22",46
"96","01/05/2014","23",28
"97","01/06/2014","00",49
"98","01/06/2014","01",25
"99","01/06/2014","02",15
"100","01/06/2014","03",9.75
"101","01/06/2014","04",9.125
"102","01/06/2014","05",23.25
"103","01/06/2014","06",43.5
"104","01/06/2014","07",88.25
"105","01/06/2014","08",97.75
"106","01/06/2014","09",160.5
"107","01/06/2014","10",217
"108","01/06/2014","11",242.5
"109","01/06/2014","12",233
"110","01/06/2014","13",209.25
"111","01/06/2014","14",207
"112","01/06/2014","15",160.75
"113","01/06/2014","16",206.25
"114","01/06/2014","17",176.75
