Date:1388534400 Price:746.90
Date:1388620800 Price:758.01
Date:1388707200 Price:806.21
Date:1388793600 Price:822.38
Date:1388880000 Price:896.00
Date:1388966400 Price:934.21
Date:1389052800 Price:867.38
Date:1389139200 Price:825.29
Date:1389225600 Price:809.17
Date:1389312000 Price:827.46
Date:1389398400 Price:891.85
Date:1389484800 Price:851.00
Date:1389571200 Price:807.83
Date:1389657600 Price:820.75
Date:1389744000 Price:847.70
Date:1389830400 Price:830.90
Date:1389916800 Price:793.00
Date:1390003200 Price:801.53
Date:1390089600 Price:833.00
Date:1390176000 Price:831.72
Date:1390262400 Price:822.56
Date:1390348800 Price:813.05
Date:1390435200 Price:813.02
Date:1390521600 Price:789.10
Date:1390608000 Price:806.00
Date:1390694400 Price:826.77
Date:1390780800 Price:777.00
Date:1390867200 Price:800.20
Date:1390953600 Price:803.60
Date:1391040000 Price:799.37
Date:1391126400 Price:802.50
Date:1391212800 Price:815.99
Date:1391299200 Price:819.57
Date:1391385600 Price:813.80
Date:1391472000 Price:809.05
Date:1391558400 Price:800.00
Date:1391644800 Price:778.00
Date:1391731200 Price:742.78
Date:1391817600 Price:707.00
Date:1391904000 Price:710.00
Date:1391990400 Price:665.00
Date:1392076800 Price:670.00
Date:1392163200 Price:667.01
Date:1392249600 Price:633.99
Date:1392336000 Price:672.10
Date:1392422400 Price:651.42
Date:1392508800 Price:623.50
Date:1392595200 Price:642.00
Date:1392681600 Price:626.77
Date:1392768000 Price:623.93
Date:1392854400 Price:582.70
Date:1392940800 Price:566.16
Date:1393027200 Price:603.98
Date:1393113600 Price:626.77
Date:1393200000 Price:545.00
Date:1393286400 Price:528.00
Date:1393372800 Price:585.38
Date:1393459200 Price:585.17
Date:1393545600 Price:577.97
Date:1393632000 Price:571.50
Date:1393718400 Price:559.88
Date:1393804800 Price:666.50
Date:1393891200 Price:677.61
Date:1393977600 Price:664.85
Date:1394064000 Price:657.02
Date:1394150400 Price:621.30
Date:1394236800 Price:609.00
Date:1394323200 Price:637.99
Date:1394409600 Price:621.99
Date:1394496000 Price:622.90
Date:1394582400 Price:642.10
Date:1394668800 Price:642.61
Date:1394755200 Price:636.47
Date:1394841600 Price:636.29
Date:1394928000 Price:634.94
Date:1395014400 Price:624.70
Date:1395100800 Price:627.00
Date:1395187200 Price:608.41
Date:1395273600 Price:590.00
Date:1395360000 Price:579.99
Date:1395446400 Price:557.00
Date:1395532800 Price:567.13
Date:1395619200 Price:572.00
Date:1395705600 Price:580.02
Date:1395792000 Price:585.70
Date:1395878400 Price:520.20
Date:1395964800 Price:503.00
Date:1396051200 Price:499.94
Date:1396137600 Price:449.02
Date:1396224000 Price:457.00
Date:1396310400 Price:479.51
Date:1396396800 Price:445.00
Date:1396483200 Price:446.31
Date:1396569600 Price:446.01
Date:1396656000 Price:451.84
Date:1396742400 Price:459.67
Date:1396828800 Price:447.74
Date:1396915200 Price:454.07
Date:1397001600 Price:443.10
Date:1397088000 Price:401.00
Date:1397174400 Price:427.99
Date:1397260800 Price:424.98
Date:1397347200 Price:405.00
Date:1397433600 Price:453.14
Date:1397520000 Price:489.91
Date:1397606400 Price:511.50
Date:1397692800 Price:495.00
Date:1397779200 Price:479.98
Date:1397865600 Price:499.90
Date:1397952000 Price:500.19
Date:1398038400 Price:496.50
Date:1398124800 Price:493.33
Date:1398211200 Price:487.30
Date:1398297600 Price:491.60
Date:1398384000 Price:459.15
Date:1398470400 Price:463.88
Date:1398556800 Price:440.10
Date:1398643200 Price:447.00
Date:1398729600 Price:447.70
Date:1398816000 Price:449.00
Date:1398902400 Price:460.01
Date:1398988800 Price:447.51
Date:1399075200 Price:434.50
Date:1399161600 Price:436.21
Date:1399248000 Price:427.83
Date:1399334400 Price:430.33
Date:1399420800 Price:446.65
Date:1399507200 Price:441.50
Date:1399593600 Price:452.02
Date:1399680000 Price:452.42
Date:1399766400 Price:435.00
Date:1399852800 Price:441.50
Date:1399939200 Price:438.95
Date:1400025600 Price:447.49
Date:1400112000 Price:448.99
Date:1400198400 Price:449.51
Date:1400284800 Price:449.08
Date:1400371200 Price:447.14
Date:1400457600 Price:446.42
Date:1400544000 Price:485.01
Date:1400630400 Price:494.87
Date:1400716800 Price:523.84
Date:1400803200 Price:527.47
